Datum,Stdgang,Gruppe,Menge,Sonstiges,Zeit,gekocht,ungekocht
6/3/2016,MBI15_Grp1,A,200,,0,"9,8","9,8"
,,,,,"0,5",10,"9,6"
,,,,,"1,5",10,"9,8"
,,,,,12,"9,8","9,7"
,,,,,27,"9,8","9,7"
,,,,,70,"9,3","9,45"
6/3/2016,MBI15_Grp1,B,350,kaputtes Enzym,0,"10,22","10,6"
,,,,,"0,5","10,4","10,7"
,,,,,"1,5",11,"10,94"
,,,,,10,"10,9","10,88"
,,,,,45,"10,88","10,75"
,,,,,66,"9,43","10,32"
6/3/2016,MBI15_Grp1,C,500,,0,"10,3","10,5"
,,,,,"0,5","10,3","10,5"
,,,,,2,"10,3","10,5"
,,,,,10,"10,2","10,22"
,,,,,20,"10,23",10
,,,,,30,"10,2","9,5"
,,,,,40,"10,31","9,32"
,,,,,50,"10,4","9,2"
,,,,,75,"10,33","8,47"
,,,,,135,"10,33","6,9"
6/3/2016,MBI15_Grp1,D,500,,0,"10,4","10,2"
,,,,,"0,5","10,4","10,3"
,,,,,2,"10,4","10,15"
,,,,,9,"10,4","9,95"
,,,,,20,"10,3","8,55"
,,,,,28,"10,4","7,9"
,,,,,47,"10,3","7,3"
,,,,,65,"10,3","7,05"
,,,,,110,"10,4","6,8"
6/3/2016,MBI15_Grp1,E,350,kaputtes Enzym,0,10,11
,,,,,"0,5","10,5","11,1"
,,,,,"0,5","10,8","11,3"
,,,,,10,"10,6","11,2"
,,,,,35,"10,87","11,15"
6/10/2016,MBI15_Grp2,A,200,,0,"10,6","10,5"
,,,,,3,"10,75","10,8"
,,,,,15,"10,85","10,81"
,,,,,55,"10,78","10,42"
,,,,,105,"10,77","10,06"
,,,,,190,"10,65","9,24"
6/10/2016,MBI15_Grp2,B,350,,0,"10,9","10,75"
,,,,,3,"10,75","10,76"
,,,,,23,"10,95","10,75"
,,,,,43,"10,96","10,05"
,,,,,73,"10,89","9,75"
,,,,,120,"10,86","8,5"
6/10/2016,MBI15_Grp2,C,500,,0,"10,7","10,39"
,,,,,9,"10,87","10,2"
,,,,,24,"10,81","9,46"
,,,,,44,"10,78","8,06"
,,,,,104,"10,78","6,7"
,,,,,134,"10,56","6,38"
,,,,,183,"10,57","6,35"
6/10/2016,MBI15_Grp2,D,500,,0,"10,4","10,45"
,,,,,4,"10,82","10,57"
,,,,,14,"11,1","10,45"
,,,,,32,"11,13","10,11"
,,,,,43,"11,14","9,93"
,,,,,57,"11,16","9,55"
,,,,,74,"11,1","8,36"
6/10/2016,MBI15_Grp2,E,350,,0,"11,3","11,2"
,,,,,1,"11,5","11,2"
,,,,,10,"11,7","11,2"
,,,,,25,"11,4",11
,,,,,45,"11,3","10,8"
,,,,,58,"11,3",11
,,,,,73,"10,9","11,3"
,,,,,in min,,
6/9/2017,MBI16_Grp2,A,200,,0,"7,48","7,41"
,,,,,10,"7,49","7,26"
,,,,,20,"7,47","7,18"
,,,,,80,-,"6,3"
,,,,,in min,,
6/9/2017,MBI16_Grp2,B,350,,0,"10,85","10,6"
,,,,,10,"10,32","10,6"
,,,,,35,"10,32","10,15"
