,Stdgang,Nummer,Gruppe,Alter,Geschlecht,Raucher,Sportler,Brillenträger,Dioptrie li,Dioptrie re
03.06.2016,MBI15_Grp1,,E,21,w,1,2,,,
03.06.2016,MBI15_Grp1,,E,20,m,3,3,,,
03.06.2016,MBI15_Grp1,,A,20,w,3,2,,,
03.06.2016,MBI15_Grp1,,A,20,w,2,2,,,
03.06.2016,MBI15_Grp1,,D,20,m,1,3,,,
03.06.2016,MBI15_Grp1,,D,21,m,1,2,,,
03.06.2016,MBI15_Grp1,,B,19,w,1,2,,,
03.06.2016,MBI15_Grp1,,B,20,m,2,3,,,
03.06.2016,MBI15_Grp1,,C,20,m,1,2,,,
03.06.2016,MBI15_Grp1,,C,21,m,1,1,,,
10.06.2016,MBI15_Grp2,,C,22,w,1,4,,,
10.06.2016,MBI15_Grp2,,C,28,m,1,2,,,
10.06.2016,MBI15_Grp2,,A,21,w,1,3,,,
10.06.2016,MBI15_Grp2,,A,21,w,2,2,,,
10.06.2016,MBI15_Grp2,,E,21,m,1,2,,,
10.06.2016,MBI15_Grp2,,E,21,w,1,2,,,
10.06.2016,MBI15_Grp2,,D,21,m,1,4,,,
10.06.2016,MBI15_Grp2,,D,21,w,2,2,,,
10.06.2016,MBI15_Grp2,,E,?,w,1,3,,,
10.06.2016,MBI15_Grp2,,B,19,w,1,4,,,
10.06.2016,MBI15_Grp2,,B,20,w,1,2,,,
17.06.2016,MBI15_Grp3,,E,18,w,2,1,,,
17.06.2016,MBI15_Grp3,,E,20,w,3,1,,,
17.06.2016,MBI15_Grp3,,E,19,w,1,1,,,
17.06.2016,MBI15_Grp3,,A,21,m,2,2,,,
17.06.2016,MBI15_Grp3,,A,24,m,3,1,,,
17.06.2016,MBI15_Grp3,,B,19,w,1,1,,,
17.06.2016,MBI15_Grp3,,B,21,m,1,3,,,
17.06.2016,MBI15_Grp3,,C,21,m,2,1,,,
17.06.2016,MBI15_Grp3,,C,20,w,1,1,,,
06.02.2016,MBI16_Grp1,,,21,m,1,3,,,
06.02.2016,MBI16_Grp1,,,18,w,3,2,,,
06.02.2016,MBI16_Grp1,,,20,m,3,3,,,
06.02.2016,MBI16_Grp1,,,18,w,1,2,,,
