Region 1,Region 2,Mean 1,Mean 2,t-statistic,p-value,Cohen's d,Significant
Hand Back,Fingertip,16.3,2.1,9.23038460737146,3.018188262914288e-08,4.127953488110059,True
Hand Back,Forearm,16.3,17.85,-0.47957899366916373,0.6373021242976571,-0.21447424608503826,False
Hand Back,Back,16.3,24.5,-2.329019198969965,0.04212054861242284,-1.8040505141216028,True
Hand Back,Palm,16.3,6.11,5.4941773988628215,3.227161119739667e-05,2.457070828860049,True
Fingertip,Forearm,2.1,17.85,-5.459874356929589,3.469727823945325e-05,-2.4417300421405024,True
Fingertip,Back,2.1,24.5,-23.30301060014141,4.793514117928405e-10,-18.050434394168516,True
Fingertip,Palm,2.1,6.11,-3.496310152048852,0.002577759335650218,-1.5635974340807717,True
Forearm,Back,17.85,24.5,-0.9963008019294223,0.3426005945427527,-0.7717312827371493,False
Forearm,Palm,17.85,6.11,3.830266129698575,0.0012258560820254919,1.712947087584208,True
Back,Palm,24.5,6.11,7.094444910981499,3.317320420464224e-05,5.495333398163462,True
