Datum,Stdgang,Person,Handrücken,Fingerkuppe,Unterarm,Rücken,Handfläche
2015,MBI14_Grp2,1,18,1,10,10,6
2015,MBI14_Grp2,2,15,1,14,38,5
2015,MBI14_Grp2,3,20,3,34,45,12
2015,MBI14_Grp2,4,13,2,52,43,6
2015,MBI14_Grp2,5,24,3,34,69,12
2015,MBI14_Grp2,6,14,2,33,,9
2015,MBI14_Grp2,7,6,2,16,,5
2015,MBI14_Grp2,8,19,2,35,23,5
2015,MBI14_Grp2,9,9,1,29,36,6
2015,MBI14_Grp2,10,24,3,49,40,9
2015,MBI14_Grp2,11,11,2,30,23,5
2015,MBI14_Grp1,1,23,10,47,40,4
2015,MBI14_Grp1,2,27,2,21,49,3
2015,MBI14_Grp1,3,22,"3,5",18,32,8
2015,MBI14_Grp1,4,16,2,24,55,9
2015,MBI14_Grp1,5,4,"1,5",19,33,4
2015,MBI14_Grp1,6,14,2,25,42,6
2015,MBI14_Grp1,7,18,"3,5",40,50,7
2015,MBI14_Grp1,8,5,1,9,17,4
2015,MBI14_Grp1,9,18,2,34,45,8
2015,MBI14_Grp1,10,"14,5",1,24,10,"4,5"
2015,MBI14_Grp1,11,10,"0,75",21,25,6
2015,MBI14_Grp1,12,12,3,25,48,8
2015,MBI14_Grp1,13,10,"1,5",12,24,8
13.05.2016,MBI15_Grp1,1,12,"3,5",21,37,"6,5"
13.05.2016,MBI15_Grp1,2,13,3,24,25,7
13.05.2016,MBI15_Grp1,3,12,2,11,25,8
13.05.2016,MBI15_Grp1,4,19,1,40,53,6
13.05.2016,MBI15_Grp1,5,10,1,24,28,9
13.05.2016,MBI15_Grp1,6,15,2,16,33,8
13.05.2016,MBI15_Grp1,7,15,2,36,31,5
13.05.2016,MBI15_Grp1,8,14,2,20,35,5
13.05.2016,MBI15_Grp1,9,16,3,33,33,6
13.05.2016,MBI15_Grp1,10,7,1,15,32,4
13.05.2016,MBI15_Grp1,11,10,1,20,28,9
