Maßlösung[ml]	pH-Wert			
0	2.3			
0.4	2.55			
0.5	2.65			
0.6	2.68			
0.8	2.75			
1	2.78			
1.3	2.13			
1.6	2.19			
2	2.2			
2.4	2.22			
2.7	2.29			
3	2.35			
3.4	2.37			
3.6	2.39			
4	2.36			
4.5	2.38			
5	2.43			
5.5	2.47			
6	2.51			
6.5	2.54			
7	2.6			
7.5	2.65			
8	2.69			
8.5	2.74			
9	2.8			
9.5	2.83			
10	2.88			
10.5	2.94			
11	3.03			
11.5	3.18			
12	3.25			
12.7	3.37			
13	3.41			
13.5	3.52			
14.2	3.68			
14.5	3.75			
15.1	4.05			
15.8	4.87			
16.3	6.53			
16.5	6.98			
16.6	7.16			
16.7	7.56			
16.9	7.89			
17	8.03			
17.2	8.18			
17.4	8.32			
17.6	8.39			
17.8	8.48			
18.2	8.62			
18.6	8.74			
19	8.82			
19.4	8.9			
19.8	8.98			
20.2	9.04			
20.6	9.09			
21	9.14			
21.4	9.19			
21.8	9.24			
22.2	9.28			
22.6	9.32			
23	9.37			
23.4	9.4			
23.8	9.43			
24.2	9.47			
24.6	9.5			
25.1	9.54			
