Region 1,Region 2,Mean 1,Mean 2,t-statistic,p-value,Cohen's d,Significant
Hand Back,Fingertip,14.82853185595568,2.014404432132964,38.30066645574478,7.209274520964355e-176,2.850806418402239,True
Hand Back,Forearm,14.82853185595568,24.895844875346263,-15.018125135712017,1.5021255064207845e-44,-1.1178334867547481,True
Hand Back,Back,14.82853185595568,32.96271186440678,-20.78139372777552,8.492465146661432e-71,-1.9068897062480445,True
Hand Back,Palm,14.82853185595568,7.524079320113314,19.367084519776157,1.8997038580583388e-67,1.4496808436618085,True
Fingertip,Forearm,2.014404432132964,24.895844875346263,-39.038919722837846,6.69472615598557e-180,-2.905756301706936,True
Fingertip,Back,2.014404432132964,32.96271186440678,-41.90568499525166,2.9444873056968826e-171,-3.8452435095301083,True
Fingertip,Palm,2.014404432132964,7.524079320113314,-29.871490327299778,1.0071366029853087e-127,-2.2359652148415363,True
Forearm,Back,24.895844875346263,32.96271186440678,-7.261062387442677,1.3591508306447572e-12,-0.6662712474636993,True
Forearm,Palm,24.895844875346263,7.524079320113314,28.21398627801048,3.826223357811668e-118,2.1118963666835717,True
Back,Palm,32.96271186440678,7.524079320113314,32.45114591412428,7.586149262573189e-128,2.9887802596924646,True
